2019-09-06T05:51:16.792790370Z Data directory not empty, will not provision.
2019-09-06T05:51:16.795284840Z ------------------------ written by daito at /sw360chores/docker-images/sw360couchdb/docker-entrypoint.sh  -----------------
2019-09-06T05:51:16.800942771Z sed -e s/file = \/dev\/null/file = \/usr\/local\/var\/log\/couchdb\/couch.log/g  \/usr\/local\/etc\/couchdb\/default.ini
2019-09-06T05:51:16.826636202Z ****************************************************
2019-09-06T05:51:16.826690021Z WARNING: CouchDB is running in Admin Party mode.
2019-09-06T05:51:16.826706421Z          This will allow anyone with access to the
2019-09-06T05:51:16.826721625Z          CouchDB port to access your database. In
2019-09-06T05:51:16.826737646Z          Docker's default configuration, this is
2019-09-06T05:51:16.826752184Z          effectively any other container on the same
2019-09-06T05:51:16.826766129Z          system.
2019-09-06T05:51:16.826776084Z          Use "-e COUCHDB_USER=admin -e COUCHDB_PASSWORD=password"
2019-09-06T05:51:16.826785186Z          to set it in "docker run".
2019-09-06T05:51:16.826794194Z ****************************************************
2019-09-06T05:51:18.452564911Z Apache CouchDB 1.7.1 (LogLevel=info) is starting.
2019-09-06T05:51:23.181589933Z Apache CouchDB has started. Time to relax.
2019-09-06T05:51:23.508599005Z [info] [<0.32.0>] Apache CouchDB has started on http://0.0.0.0:5984/
2019-09-06T05:54:00.405106678Z [info] [<0.115.0>] 172.21.0.5 - - HEAD /sw360oauthclients/ 200
2019-09-06T05:54:00.456273402Z [info] [<0.115.0>] 172.21.0.5 - - HEAD /sw360oauthclients/_design/OAuthClientEntity 200
2019-09-06T05:54:00.480260430Z [info] [<0.115.0>] 172.21.0.5 - - GET /sw360oauthclients/_design/OAuthClientEntity 200
2019-09-06T05:54:09.657444806Z [info] [<0.306.0>] 172.21.0.5 - - HEAD /sw360vm/ 200
2019-09-06T05:54:09.695170537Z [info] [<0.306.0>] 172.21.0.5 - - GET /sw360vm/_security 200
2019-09-06T05:54:09.844103665Z [info] [<0.306.0>] 172.21.0.5 - - HEAD /sw360vm/ 200
2019-09-06T05:54:09.854527082Z [info] [<0.306.0>] 172.21.0.5 - - HEAD /sw360vm/_design/Vulnerability 200
2019-09-06T05:54:09.876155181Z [info] [<0.306.0>] 172.21.0.5 - - GET /sw360vm/_design/Vulnerability 200
2019-09-06T05:54:09.980186235Z [info] [<0.306.0>] 172.21.0.5 - - HEAD /sw360vm/ 200
2019-09-06T05:54:09.985626851Z [info] [<0.306.0>] 172.21.0.5 - - HEAD /sw360vm/_design/ReleaseVulnerabilityRelation 200
2019-09-06T05:54:09.991690663Z [info] [<0.306.0>] 172.21.0.5 - - GET /sw360vm/_design/ReleaseVulnerabilityRelation 200
2019-09-06T05:54:10.064166878Z [info] [<0.114.0>] 172.21.0.5 - - HEAD /sw360attachments/ 200
2019-09-06T05:54:10.069902602Z [info] [<0.114.0>] 172.21.0.5 - - GET /sw360attachments/_security 200
2019-09-06T05:54:10.089109665Z [info] [<0.114.0>] 172.21.0.5 - - HEAD /sw360attachments/ 200
2019-09-06T05:54:10.093669376Z [info] [<0.114.0>] 172.21.0.5 - - GET /sw360attachments/_security 200
2019-09-06T05:54:10.107618038Z [info] [<0.114.0>] 172.21.0.5 - - HEAD /sw360attachments/ 200
2019-09-06T05:54:10.113394231Z [info] [<0.114.0>] 172.21.0.5 - - HEAD /sw360attachments/_design/AttachmentContent 200
2019-09-06T05:54:10.120512519Z [info] [<0.114.0>] 172.21.0.5 - - GET /sw360attachments/_design/AttachmentContent 200
2019-09-06T05:54:10.196526381Z [info] [<0.114.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:10.203426006Z [info] [<0.114.0>] 172.21.0.5 - - GET /sw360db/_security 200
2019-09-06T05:54:10.214599467Z [info] [<0.114.0>] 172.21.0.5 - - HEAD /sw360db/ 200
2019-09-06T05:54:10.219220580Z [info] [<0.114.0>] 172.21.0.5 - - HEAD /sw360db/_design/AttachmentUsage 200
2019-09-06T05:54:10.224328490Z [info] [<0.114.0>] 172.21.0.5 - - GET /sw360db/_design/AttachmentUsage 200
